Business Name,Industry,Complaint Type,Mediation Start Date,Mediation Close Date,Complaint Result,Satisfaction,Restitution,Business Building,Business Street,Building Address Unit,Business City,Business State,Business Zip,Complainant Zip 
HIGH SECURITY LOCKSMITH,Locksmith - 062,Surcharge/Overcharge - S02,09/03/2015,11/09/2015,Credit Card Refund and/or Contract Cancelled - CRC,Yes,150.00,157,ADELPHI ST,,BROOKLYN,NY,11205,11581
NEW YORK AUTO REPAIR INC,Secondhand Dealer Auto - 005,Non-Delivery of Goods - N01,03/12/2015,04/07/2015,No Business Response - NVR,No,0.00,2110,38TH AVE,,LONG ISLAND CITY,NY,11101,11413
JMT MOTORS INC.,Secondhand Dealer Auto - 005,Misrepresentation - M01,12/03/2015,02/02/2016,No Consumer Response - NCR,NA,0.00,520,S BROAD ST,,ELIZABETH,NJ,07202,10466
22 EAST LLC,Garage - 049,Damaged Goods - D01,06/12/2015,07/09/2015,Consumer Took Action - CTA,No,0.00,329,E 22ND ST,,NEW YORK,NY,10010,11102
"BAYSIDE CHRYSLER/PLYMOUTH JEEP/EAGLE, INC.",Secondhand Dealer Auto - 005,Breach of Contract - B03,06/11/2015,07/27/2015,Bill Reduced - BLR,Yes,1235.00,21219,NORTHERN BLVD,,BAYSIDE,NY,11361,11369
2479 GRAND CONCOURSE INC,Electronic Store - 001,Misrepresentation - M01,11/13/2015,12/02/2015,Goods Exchanged - GEX,Yes,587.00,2479,GRAND CONCOURSE,,BRONX,NY,10468,10457
"ALL ABOUT AUTOMOTIVE II, INC.",Tow Truck Company - 124,Outstanding Judgment - J01,07/14/2015,08/20/2015,Referred to Hearing - RTH,No,0.00,319,DEVOE ST,,BROOKLYN,NY,11211,01035
DISCOUNT KING FURNITURE & BEDDING,Furniture Sales - 242,Non-Delivery of Goods - N01,07/30/2015,09/15/2015,No Business Response - NVR,No,0.00,224A,E FORDHAM RD,,BRONX,NY,10458,10468
BEAR TRANSPORTATION LLC,Tow Truck Company - 124,Misrepresentation - M01,08/26/2015,10/23/2015,No Consumer Response - NCR,NA,0.00,953,COLGATE AVE,,BRONX,NY,10473,10451
JUSTIN'S TOWING & STORAGE INC,Tow Truck Company - 124,Misrepresentation - M01,07/14/2015,07/27/2015,Cash Amount - AMT,Yes,220.00,10715,96TH ST,1R,OZONE PARK,NY,11417,11435
PHO THANH HOAI,Restaurant - 818,Surcharge/Overcharge - S02,06/11/2015,07/16/2015,Resolved and Consumer Satisfied - SPF,Yes,0.00,73,MULBERRY ST,,NEW YORK,NY,10013,11367
"FIVE STAR AUTO GROUP, INC.",Secondhand Dealer Auto - 005,Damaged Goods - D01,06/10/2015,08/07/2015,Consumer Took Action - CTA,No,0.00,9907,ROOSEVELT AVE,,CORONA,NY,11368,11368
"AUTOMOTIVE RESOURCES, LLC",Secondhand Dealer Auto - 005,Misrepresentation - M01,12/22/2015,12/30/2015,Resolved and Consumer Satisfied - SPF,Yes,0.00,4623,NORTHERN BLVD,,LONG ISLAND CITY,NY,11101,06830
SUPER M CONSTRUCTION CORP.,Home Improvement Contractor - 100,Quality of Work - Q01,03/04/2015,04/13/2015,Advised to Sue - ATS,No,0.00,2118,149TH ST,,WHITESTONE,NY,11357,10314
CITGO PETROLEUM CORPORATION,Gas Station-Retail - 815,Misrepresentation - M01,04/28/2015,06/04/2015,Advised to Sue - ATS,No,0.00,PO BOX,,,HOUSTON,TX,77210,11218
HOME DEPOT USA INC,Appliances - 244,,02/17/2015,03/23/2015,Cash Amount - AMT,Yes,1401.00,2455,PACES FERRY RD SE,,ATLANTA,GA,30339,10305
RAJA AUTO SALES INC.,Secondhand Dealer Auto - 005,Non-Delivery of Goods - N01,10/05/2015,10/20/2015,Cash Amount - AMT,Yes,2100.00,790,CONEY ISLAND AVE,,BROOKLYN,NY,11218,11230
CYCLONE CITY INC.,Tow Truck Company - 124,Damaged Goods - D01,02/09/2016,03/16/2016,Consumer Took Action - CTA,No,0.00,2725,W 16TH ST,,BROOKLYN,NY,11224,11204
"NATIONWIDE CREDIT, INC.",Debt Collection Agency - 122,Billing Dispute - B02,12/24/2014,01/07/2015,Bill Reduced - BLR,Yes,1794.00,1000,ABERNATHY RD,200,ATLANTA,GA,30328,10472
J&C TOWING INC,Tow Truck Company - 124,Outstanding Judgment - J01,07/24/2015,08/26/2015,Agency Collected Judgement - ACJ,Yes,244.00,25,TOMPKINS ST,,STATEN ISLAND,NY,10304,11234
"SEARS, ROEBUCK AND CO.",Electronic Store - 001,Defective Goods - D02,03/30/2016,04/22/2016,Resolved and Consumer Satisfied - SPF,Yes,0.00,3333,BEVERLY RD,,HOFFMAN ESTATES,IL,60179,11212
TELEVISION REPAIR AND INSTALLATION CENTER,Electronic & Home Appliance Service Dealer - 115,Non-Delivery of Service - N02,06/30/2015,08/21/2015,Unable to Locate Business - ULV,NA,0.00,9618,LIBERTY AVE,,OZONE PARK,NY,11417,11427
WIRELESS BOX OF NY INC,Electronic Store - 001,Misrepresentation - M01,04/03/2015,04/24/2015,No Satisfactory Agreement - NSA,No,0.00,114,E FORDHAM RD,,BRONX,NY,10468,10453
BENNY'S VENTURES INC.,Jewelry Store-Retail - 823,Lost Property - L02,08/07/2015,09/11/2015,Advised to Sue - ATS,No,0.00,54,SHELTER LN,,ROSLYN HTS,NY,11577,11413
GOTHAM BUILDERS OF NEW YORK LTD.,Home Improvement Contractor - 100,Quality of Work - Q01,11/13/2015,12/16/2015,Goods Repaired - GRS,Yes,500.00,20320,ROCKY HILL RD,,BAYSIDE,NY,11361,11413
OXFORD CLEANERS,Dry Cleaners - 230,Lost Property - L02,03/02/2016,03/10/2016,Cash Amount - AMT,Yes,15.00,582,AMSTERDAM AVE,,NEW YORK,NY,10024,10024
"1 CHELSEA FRENCH CLEANERS, INC.",Dry Cleaners - 230,Non-Delivery of Service - N02,07/23/2015,07/28/2015,Goods Received - GDR,Yes,0.00,31,JANE ST,,NEW YORK,NY,10014,10013
3 BROTHERS CONSTRUCTION CORP.,Home Improvement Contractor - 100,,11/06/2015,12/29/2015,No Business Response - NVR,No,0.00,330,LEFFERTS AVE,,BROOKLYN,NY,11225,11225
JR STEP UP FURNITURE INC.,Furniture Sales - 242,Exchange Goods/Contract Cancelled - E01,04/08/2015,04/17/2015,Goods Exchanged - GEX,Yes,140.00,16840,JAMAICA AVE,,JAMAICA,NY,11432,11010
TAKING OVER WIRELESS INC.,Electronic Store - 001,Exchange Goods/Contract Cancelled - E01,02/29/2016,03/09/2016,Consumer Took Action - CTA,No,0.00,261,E FORDHAM RD,,BRONX,NY,10458,10468
AA ELECTRONICS INC.,Electronic Store - 001,Misrepresentation - M01,10/16/2015,11/18/2015,Referred to Manufacturer - RMF,NA,0.00,2840,3RD AVE,,BRONX,NY,10455,10459
"LIBERTY WINDOORS, CORP.",Home Improvement Contractor - 100,Exchange Goods/Contract Cancelled - E01,11/28/2014,01/30/2015,Goods Repaired - GRS,Yes,0.00,6075,ELIOT AVE,,MASPETH,NY,11378,11378
PREPAID MOBILE SHOP LLC,Electronic Store - 001,Misrepresentation - M01,01/21/2015,02/03/2015,Credit Card Refund and/or Contract Cancelled - CRC,Yes,1089.00,488,7TH AVE,,NEW YORK,NY,10011,92700
"ALPHA WINDOWS & SIDING, INC.",Home Improvement Contractor - 100,Quality of Work - Q01,01/14/2015,04/01/2015,Goods Repaired - GRS,Yes,420.00,4350,SUNRISE HWY,,MASSAPEQUA,NY,11758,10469
"The CBE GROUP, INC.",Debt Collection Agency - 122,,05/14/2015,06/15/2015,Bill Reduced - BLR,Yes,156.00,PO BOX,TECHNOLOGY PKWY,,WATERLOO,IA,50704,10029
"CENTRAL PARKING SYSTEM OF NEW YORK,INC.",Garage - 049,,06/17/2015,06/24/2015,Cash Amount - AMT,Yes,956.00,360,W 31ST ST,1100,NEW YORK,NY,10001,20815
TACO BELL,Restaurant - 818,Surcharge/Overcharge - S02,02/03/2015,02/05/2015,Cash Amount - AMT,Yes,2.00,18,E 18TH ST,,NEW YORK,NY,10003,10457
"NYC PRIME TOWING, INC.",Tow Truck Company - 124,Misrepresentation - M01,02/13/2015,05/07/2015,Cash Amount - AMT,Yes,201.00,2517,BUTLER ST,FL 1,EAST ELMHURST,NY,11369,11375
COLONY FUEL OIL,Fuel Oil Dealer - 814,Surcharge/Overcharge - S02,04/21/2015,06/23/2015,Complaint Invalid - CIN,NA,0.00,13616,32ND AVE,,FLUSHING,NY,11354,11357
"ENHANCED RECOVERY COMPANY, LLC",Debt Collection Agency - 122,Billing Dispute - B02,04/08/2015,05/06/2015,Resolved and Consumer Satisfied - SPF,Yes,0.00,8014,BAYBERRY RD,,JACKSONVILLE,FL,32256,11416
"TIMES SQ PHOTO, INC.",Electronic Store - 001,Surcharge/Overcharge - S02,04/22/2015,04/14/2015,Cash Amount - AMT,Yes,20.00,200,W 40TH ST,,NEW YORK,NY,10018,
U.S. CAMERA & COMPUTERS INC.,Electronic Store - 001,Defective Goods - D02,12/28/2015,01/04/2016,Cash Amount - AMT,Yes,330.00,423,7TH AVE,,NEW YORK,NY,10001,10453
INTERNATIONAL MOBILE INC,Misc Non-Food Retail - 817,Non-Delivery of Goods - N01,03/16/2016,04/20/2016,Goods Received - GDR,Yes,100.00,526,7TH AVE,,NEW YORK,NY,10018,07450
ADORAMA INC.,Electronic Store - 001,Wrong Goods - W01,12/15/2015,02/05/2016,Advised to Sue - ATS,No,0.00,42,W 18TH ST,,NEW YORK,NY,10011,07305
"DIVERSIFIED CONSULTANTS, INC.",Debt Collection Agency - 122,,06/23/2015,07/07/2015,Bill Reduced - BLR,Yes,0.00,10550,DEERWOOD PARK BLVD,SUTIE 309,JACKSONVILLE,FL,32256,
BH GALAXY WIRELESS INC,Electronic Store - 001,Breach of Contract - B03,11/25/2014,02/02/2015,No Satisfactory Agreement - NSA,No,0.00,3530,WHITE PLAINS RD,,BRONX,NY,10467,10467
WEST 5TH CLEANERS INC.,Dry Cleaners - 230,Damaged Goods - D01,03/08/2016,04/08/2016,Cash Amount - AMT,Yes,4.00,2935,W 5TH ST,,BROOKLYN,NY,11224,11224
USA1 AUTO SALES INC.,Secondhand Dealer Auto - 005,Misrepresentation - M01,08/04/2015,09/29/2015,No Consumer Response - NCR,NA,0.00,12047,FLATLANDS AVE,,BROOKLYN,NY,11207,11208
CHAMPION CONTRACTING NY CORP.,Home Improvement Contractor - 100,Quality of Work - Q01,10/16/2015,12/11/2015,Referred to Hearing - RTH,No,0.00,4702,AVENUE N,,BROOKLYN,NY,11234,11203
"FELIPE, SIGNES & FELIPE,SIGNES LLORET",Secondhand Dealer Auto - 005,Exchange Goods/Contract Cancelled - E01,06/02/2015,06/09/2015,Consumer Withdrew Complaint - CWC,NA,0.00,2803A,BOSTON RD,,BRONX,NY,10469,10475
RUNWAY TOWING CORP.,Tow Truck Company - 124,Surcharge/Overcharge - S02,12/21/2015,01/25/2016,Referred to Outside - RTO,NA,0.00,12420,S CONDUIT AVE,,S OZONE PARK,NY,11420,11550
BAY RIDGE FOREIGN AUTO SALES CORP.,Secondhand Dealer Auto - 005,Surcharge/Overcharge - S02,03/22/2016,04/06/2016,Bill Reduced - BLR,Yes,3000.00,653-655,65TH ST,,BROOKLYN,NY,11220,10305
BEVERLY HILLS FURNITURE,Furniture Sales - 242,Exchange Goods/Contract Cancelled - E01,09/01/2015,09/29/2015,Resolved and Consumer Satisfied - SPF,Yes,0.00,305,E KINGSBRIDGE RD,,BRONX,NY,10458,10475
QUEENS FURNITURE OUTLET,Furniture Sales - 242,Breach of Warranty - B04,05/18/2015,06/22/2015,Goods Repaired - GRS,Yes,145.00,3702,QUEENS BLVD,,LONG IS CITY,NY,11101,11368
"VEJSELOVSKI, BEDZET",Home Improvement Contractor - 100,Quality of Work - Q01,11/28/2014,02/06/2015,Referred to Hearing - RTH,No,0.00,169,RATHBUN AVE,,STATEN ISLAND,NY,10312,10312
"ARJAY TELECOMMUNICATIONS, INC.",Electronic Store - 001,Exchange Goods/Contract Cancelled - E01,05/04/2015,05/07/2015,Goods Exchanged - GEX,Yes,44.00,7010,AUSTIN ST,,FOREST HILLS,NY,11375,11374
H & R BLOCK,Tax Preparers - 891,Misrepresentation - M01,03/05/2015,05/13/2015,No Consumer Response - NCR,NA,0.00,1422,MYRTLE AVE,,BROOKLYN,NY,11237,11221
TARGET CORPORATION,Misc Non-Food Retail - 817,Advertising/General - A01,01/14/2016,02/03/2016,Store Credit - SCR,Yes,10.00,1000,NICOLLET MALL,,MINNEAPOLIS,MN,55403,11214
JOONG ANG SA INC.,Dry Cleaners - 230,Non-Delivery of Service - N02,11/19/2015,12/04/2015,Advised to Sue - ATS,No,0.00,2401,DITMARS BLVD,,ASTORIA,NY,11105,11801
"BEST BUY STORES, L.P.",Electronic Store - 001,,07/02/2015,07/22/2015,Credit Card Refund and/or Contract Cancelled - CRC,Yes,1193.00,7601,PENN AVE S,,MINNEAPOLIS,MN,55423,10023
DID INTERIORS INC.,Home Improvement Contractor - 100,Breach of Contract - B03,01/13/2016,01/22/2016,Resolved and Consumer Satisfied - SPF,Yes,0.00,2955,SHELL RD,8C,BROOKLYN,NY,11224,11223
"NATIONAL WHOLESALE LIQUIDATORS, INC.",Misc Non-Food Retail - 817,Exchange Goods/Contract Cancelled - E01,02/03/2016,02/26/2016,No Consumer Response - NCR,NA,0.00,111,HEMPSTEAD TPKE,,WEST HEMPSTEAD,NY,11552,11214
JACKSON HEWITT TAX SERVICE,Tax Preparers - 891,Advertising/Misleading - A02,05/26/2015,07/13/2015,No Business Response - NVR,No,0.00,275,LIVINGSTON ST,,BROOKLYN,NY,11217,11203
"HAMILTON AUTO SALES, INC.",Secondhand Dealer Auto - 005,Advertising/Misleading - A02,12/05/2014,02/12/2015,Resolved and Consumer Satisfied - SPF,Yes,0.00,3602,12TH AVE,,BROOKLYN,NY,11218,06770
LUXURY CARS OF BAYSIDE INC.,Secondhand Dealer Auto - 005,Breach of Warranty - B04,01/23/2015,02/19/2015,No Satisfactory Agreement - NSA,No,0.00,266,E SHORE RD,,GREAT NECK,NY,11023,11361
"LVL GROUP, INC.",Secondhand Dealer [General] - 006,Misrepresentation - M01,12/30/2015,02/12/2016,Advised to Sue - ATS,No,0.00,9918,METROPOLITAN AVE,,FOREST HILLS,NY,11375,11418
LATINO BEDDING & FURNITURE CORP.,Furniture Sales - 242,Non-Delivery of Goods - N01,08/19/2015,09/28/2015,No Satisfactory Preempted - NSP,NA,0.00,9503,ROOSEVELT AVE,,JACKSON HEIGHTS,NY,11372,11368
B & H FOTO ELECTRONICS CORP.,Electronic Store - 001,Exchange Goods/Contract Cancelled - E01,02/13/2015,03/09/2015,Cash Amount - AMT,Yes,1198.00,420,9TH AVE,,NEW YORK,NY,10001,11434
"WORLDWIDE MOTORS, LTD.",Secondhand Dealer Auto - 005,Breach of Warranty - B04,03/01/2016,03/23/2016,Cash Amount - AMT,Yes,6439.00,4801,NORTHERN BLVD,,LONG ISLAND CITY,NY,11101,11379
POM RECOVERIES INC.,Debt Collection Agency - 122,Billing Dispute - B02,01/29/2015,03/02/2015,Resolved and Consumer Satisfied - SPF,Yes,0.00,85,E HOFFMAN AVE,,LINDENHURST,NY,11757,11231
ZENG QIANG LIN,Home Improvement Contractor - 100,Quality of Work - Q01,10/08/2015,11/13/2015,Advised to Sue - ATS,No,0.00,15324,BOOTH MEMORIAL AVE,,FLUSHING,NY,11355,10029
3RD AVE WIRELESS INC.,Electronic Store - 001,Damaged Goods - D01,12/29/2014,01/22/2015,Consumer Took Action - CTA,No,0.00,2893,3RD AVE,,BRONX,NY,10455,10451
JASEENA FINE JEWELRY,Jewelry Store-Retail - 823,Exchange Goods/Contract Cancelled - E01,07/14/2015,08/03/2015,Unable to Locate Business - ULV,NA,0.00,535,5TH AVE,,NEW YORK,NY,10017,56100
K & S SYNERGY CORP.,Electronic & Home Appliance Service Dealer - 115,Closed without Notice,05/04/2015,06/02/2015,Unable to Locate Business - ULV,NA,0.00,1708C,ATLANTIC AVE,,BROOKLYN,NY,11213,11213
WORLD CAPITAL AUTO MALL INC.,Secondhand Dealer Auto - 005,Damaged Goods - D01,07/10/2015,07/13/2015,Out of Business - OOB,NA,0.00,14318,LIBERTY AVE,,JAMAICA,NY,11435,11434
"STATEN ISLAND'S FINEST, INC.",Tow Truck Company - 124,Billing Dispute - B02,10/09/2015,11/25/2015,Referred to Outside - RTO,NA,0.00,198,GRANDVIEW AVE,,STATEN ISLAND,NY,10303,10314
FURNITURE DIRECT,Furniture Sales - 242,Non-Delivery of Goods - N01,04/24/2015,06/04/2015,No Business Response - NVR,No,0.00,590,GRAND CONCOURSE,,BRONX,NY,10451,10455
"PARIS BAGUETTE AMERICA, INC.",Restaurant - 818,Surcharge/Overcharge - S02,05/04/2015,05/15/2015,Resolved and Consumer Satisfied - SPF,Yes,0.00,137,W COMMERCIAL AVE,,MOONACHIE,NJ,07074,
OPTICS FAST INC.,Other,,08/05/2015,09/18/2015,Advised to Sue - ATS,No,0.00,1204,AVENUE U,1053,BROOKLYN,NY,11229,
CHAMPION CONTRACTING NY CORP.,Home Improvement Contractor - 100,Quality of Work - Q01,02/02/2016,03/14/2016,Referred to Hearing - RTH,No,0.00,4702,AVENUE N,,BROOKLYN,NY,11234,11229
"PROFESSIONAL BUREAU OF COLLECTIONS OF MARYLAND, INC.",Debt Collection Agency - 122,Billing Dispute - B02,12/24/2014,01/16/2015,Resolved and Consumer Satisfied - SPF,Yes,0.00,5295,DTC PKWY,,GREENWOOD VLG,CO,80111,10465
GREEN PLANET BUILDERS CORP,Home Improvement Contractor - 100,Non-Delivery of Service - N02,06/19/2015,08/13/2015,Unable to Locate Business - ULV,NA,0.00,40,WOODBRIDGE AVE,201,SEWAREN,NJ,07077,10306
1ST LIGHT ENERGY INC.,Home Improvement Contractor - 100,Non-Delivery of Service - N02,03/20/2015,05/22/2015,No Consumer Response - NCR,NA,0.00,1869,MOFFAT BLVD,,MANTECA,CA,95336,10309
BROADWAY GIFTS & ART INC.,Electronic Store - 001,Defective Goods - D02,08/19/2015,11/02/2015,No Consumer Response - NCR,NA,0.00,1668,BROADWAY,,NEW YORK,NY,10019,+1-10
OPTIO SOLUTIONS LLC,Debt Collection Agency - 122,Billing Dispute - B02,03/28/2016,04/22/2016,Bill Reduced - BLR,Yes,782.00,70,MANSELL CT,250,ROSWELL,GA,30076,11572
"NEW YORK CONSTRUCTION 69 CO., INC.",Home Improvement Contractor - 100,Quality of Work - Q01,10/14/2015,10/23/2015,Goods Repaired - GRS,Yes,1800.00,10002,ATLANTIC AVE,,OZONE PARK,NY,11416,11203
PENN CREDIT CORPORATION,Debt Collection Agency - 122,Billing Dispute - B02,03/18/2016,03/31/2016,Resolved and Consumer Satisfied - SPF,Yes,0.00,916,S 14TH ST,,HARRISBURG,PA,17104,11233
A.N.C. CONTRACTING CO. INC,Home Improvement Contractor - 100,Non-Delivery of Service - N02,07/01/2015,08/17/2015,Advised to Sue - ATS,No,0.00,11114,203RD ST,,SAINT ALBANS,NY,11412,11234
CAR APPROVAL CORP.,Secondhand Dealer Auto - 005,Breach of Contract - B03,06/18/2015,08/10/2015,Advised to Sue - ATS,No,0.00,1942,UTICA AVE,,BROOKLYN,NY,11234,11212
"SEARS HOME IMPROVEMENT PRODUCTS, INC.",Home Improvement Contractor - 100,Breach of Contract - B03,01/16/2015,04/01/2015,Cash Amount - AMT,Yes,1000.00,1024,FLORIDA CENTRAL PKWY,,LONGWOOD,FL,32750,11238
CAMILO TOWING RECOVERY INC.,Tow Truck Company - 124,Billing Dispute - B02,06/23/2015,08/19/2015,Referred to Hearing - RTH,No,0.00,20408,JAMAICA AVE,,HOLLIS,NY,11423,11428
VAMATO MASONARY,Home Improvement Contractor - 100,Quality of Work - Q01,06/10/2015,07/28/2015,Advised to Sue - ATS,No,0.00,44,KINGHORN ST,,STATEN ISLAND,NY,10312,11223
HOM'S MOBILE,Misc Non-Food Retail - 817,Exchange Goods/Contract Cancelled - E01,06/09/2015,06/24/2015,Cash Amount - AMT,Yes,50.00,4909,5TH AVE,,BROOKLYN,NY,11220,11220
"ALEX'S AUTO BODY I, INC.",Tow Truck Company - 124,Damaged Goods - D01,10/28/2015,11/16/2015,Cash Amount - AMT,Yes,1.00,2260,MCDONALD AVE,,BROOKLYN,NY,11223,11235
GLOBAL UNITED MEDICAL SUPPLIES INC,Dealer In Products For The Disabled - 119,Defective Goods - D02,02/18/2016,03/17/2016,Goods Repaired - GRS,Yes,0.00,6818,FORT HAMILTON PKWY,,BROOKLYN,NY,11219,11212
"KNIGHTS COLLISION EXPERTS, INC.",Tow Truck Company - 124,Misrepresentation - M01,10/20/2015,12/03/2015,Advised to Sue - ATS,No,0.00,120,UNION AVE,,BROOKLYN,NY,11206,11419
"SEARS, ROEBUCK AND CO.",Appliances - 244,Quality of Work - Q01,10/29/2015,12/08/2015,Goods Repaired - GRS,Yes,585.00,3333,BEVERLY RD,,HOFFMAN ESTATES,IL,60179,11373
SPORTS & IMPORTS AUTO INC.,Secondhand Dealer Auto - 005,Misrepresentation - M01,03/05/2015,04/01/2015,Cash Amount - AMT,Yes,2000.00,2756,ATLANTIC AVE,,BROOKLYN,NY,11207,11798
ANA VANERAS,Tax Preparers - 891,Non-Delivery of Service - N02,03/02/2016,03/17/2016,Cash Amount - AMT,Yes,5148.00,424,GRAND CONCOURSE,,BRONX,NY,10451,10472
BROADWAY ELECTRONICS & APPLIANCES,Electronic Store - 001,Damaged Goods - D01,07/15/2015,09/03/2015,Advised to Sue - ATS,No,0.00,2128,JEROME AVE,,BRONX,NY,10453,10468
"FIVE J'S AUTOMOTIVE,LTD",Tow Truck Company - 124,Misrepresentation - M01,05/13/2015,06/18/2015,Complaint Invalid - CIN,NA,0.00,809,ZEREGA AVE,,BRONX,NY,10473,10475
KK WIRELESS INC.,Electronic Store - 001,Advertising/Misleading - A02,07/14/2015,08/26/2015,Resolved and Consumer Satisfied - SPF,Yes,0.00,4012,MAIN ST,STE A1,FLUSHING,NY,11354,11355
CELL NATION INC,Electronic Store - 001,Advertising/Misleading - A02,06/05/2015,07/16/2015,Advised to Sue - ATS,No,0.00,9015,QUEENS BLVD,-1A,ELMHURST,NY,11373,11374
,Tow Truck Company - 124,Surcharge/Overcharge - S02,08/18/2015,10/21/2015,Resolved and Consumer Satisfied - SPF,Yes,0.00,,,,,,,11218
"BEST BUY STORES, L.P.",Appliances - 244,Misrepresentation - M01,01/08/2016,02/12/2016,Resolved and Consumer Satisfied - SPF,Yes,0.00,2200,CABOT DR,400,LISLE,IL,60532,10037
"AFNI, INC.",Debt Collection Agency - 122,Billing Dispute - B02,05/20/2015,06/12/2015,Bill Reduced - BLR,Yes,72.00,1310,MARTIN LUTHER KING DR,,BLOOMINGTON,IL,61701,11434
"SPEEDY REFRIGERATION, INC.",Electronic & Home Appliance Service Dealer - 115,Surcharge/Overcharge - S02,04/29/2015,06/17/2015,Cash Amount - AMT,Yes,125.00,77,MILL RD,,FREEPORT,NY,11520,11106
"MEDIA COLLECTIONS, INC.",Debt Collection Agency - 122,Billing Dispute - B02,01/11/2016,01/22/2016,Bill Reduced - BLR,Yes,260.00,8948,CANYON FALLS BLVD,200,TWINSBURG,OH,44087,11223
,Home Improvement Contractor - 100,Quality of Work - Q01,01/28/2015,04/17/2015,Referred to Hearing - RTH,No,0.00,,,,,,,11418
"STAPLES THE OFFICE SUPERSTORE EAST, INC.",Electronic Store - 001,Non-Delivery of Goods - N01,12/01/2014,01/02/2015,Store Credit - SCR,Yes,6.00,500,STAPLES DR,,FRAMINGHAM,MA,01702,11206
"CONVERGENT OUTSOURCING, INC.",Debt Collection Agency - 122,Billing Dispute - B02,03/07/2016,03/22/2016,Bill Reduced - BLR,Yes,203.00,PO BOX,9004,,RENTON,WA,98057,11236
378 5TH PHOTO CORP.,Electronic Store - 001,Advertising/Misleading - A02,04/27/2015,05/19/2015,Credit Card Refund and/or Contract Cancelled - CRC,Yes,719.00,378,5TH AVE,,NEW YORK,NY,10018,
"PORTFOLIO RECOVERY ASSOCIATES, L.L.C.",Debt Collection Agency - 122,Harassment - H01,03/23/2016,04/01/2016,Resolved and Consumer Satisfied - SPF,Yes,0.00,140,CORPORATE BLVD,,NORFOLK,VA,23502,11415
NATIONAL WHOLESALE LIQUIDATORS INC,Misc Non-Food Retail - 817,Damaged Goods - D01,01/12/2015,01/29/2015,Credit Card Refund and/or Contract Cancelled - CRC,Yes,40.00,111,HEMPSTEAD TPKE,3,WEST HEMPSTEAD,NY,11552,10469
B.P.,Gas Station-Retail - 815,Surcharge/Overcharge - S02,03/09/2016,04/04/2016,Advised to Sue - ATS,No,0.00,864,FLUSHING AVE,,BROOKLYN,NY,11206,11206
HOME ELEGANCE FURNITURE,Furniture Sales - 242,Damaged Goods - D01,04/01/2015,04/27/2015,No Satisfactory Agreement - NSA,No,0.00,2385,UTICA AVE,,BROOKLYN,NY,11234,11236
LEVITTOWN PLUMBING & HEATING CORP.,Misc Non-Food Retail - 817,Breach of Contract - B03,07/09/2015,07/28/2015,Goods Repaired - GRS,Yes,500.00,279,STARR ST,,BROOKLYN,NY,11237,11436
"TAI FENG CONSTRUCTION INC.,",Home Improvement Contractor - 100,Quality of Work - Q01,10/20/2015,11/09/2015,Unable to Locate Consumer - ULC,NA,0.00,13218,58TH RD,,FLUSHING,NY,11355,11374
PRIME RENOVATIONS INC.,Home Improvement Contractor - 100,Breach of Contract - B03,03/29/2016,04/12/2016,Resolved and Consumer Satisfied - SPF,Yes,0.00,435,E 79TH ST,3N,NEW YORK,NY,10075,10128
SAVERITE FURNITURE,Furniture Sales - 242,Misrepresentation - M01,08/05/2015,09/17/2015,Goods Received - GDR,Yes,715.00,1164,LIBERTY AVE,,BROOKLYN,NY,11208,11207
AWNINGS QUEENS,Home Improvement Salesperson - 101,,10/16/2015,11/10/2015,Advised to Sue - ATS,No,0.00,10120,ASTORIA BLVD,,EAST ELMHURST,NY,11369,11433
"A. INTERNATIONAL, LTD.",Home Improvement Contractor - 100,,04/08/2015,05/28/2015,Referred to Hearing - RTH,No,0.00,3708,22ND RD,,ASTORIA,NY,11103,11103
"STAR AUTO SALES OF BAYSIDE, INC.",Secondhand Dealer Auto - 005,Billing Dispute - B02,09/21/2015,11/10/2015,No Satisfactory Preempted - NSP,NA,0.00,19001,NORTHERN BLVD,,FLUSHING,NY,11358,11363
,Debt Collection Agency - 122,Billing Dispute - B02,11/02/2015,11/17/2015,Resolved and Consumer Satisfied - SPF,Yes,0.00,,,,,,,11422
"ALL ABOUT AUTOMOTIVE II, INC.",Tow Truck Company - 124,Billing Dispute - B02,12/16/2014,02/25/2015,Cash Amount - AMT,Yes,68.00,319,DEVOE ST,,BROOKLYN,NY,11211,11420
STACK VELOCITY SPORTS PERFORMANCE,Health Spa - 839,,01/20/2015,02/09/2015,Complaint Invalid - CIN,NA,0.00,2777,BRISTOL ST,B,COSTA MESA,CA,92626,10022
NEW MAGIC FURNITURE HOUSE INC.,Furniture Sales - 242,Exchange Goods/Contract Cancelled - E01,04/08/2015,06/04/2015,No Satisfactory Agreement - NSA,No,0.00,2733,CONEY ISLAND AVE,,BROOKLYN,NY,11235,11229
"LIN, FENG ZHU",Laundry - 064,Outstanding Judgment - J01,07/13/2015,07/31/2015,Cash Amount - AMT,Yes,200.00,229,SULLIVAN ST,,NEW YORK,NY,10012,10012
"NEMET MOTORS, LLC",Secondhand Dealer Auto - 005,Billing Dispute - B02,04/08/2015,05/11/2015,Bill Reduced - BLR,Yes,5007.00,14402,HILLSIDE AVE,,JAMAICA,NY,11435,11434
S & A LEATHERS INC.,Misc Non-Food Retail - 817,Damaged Goods - D01,12/29/2015,01/04/2016,Advised to Sue - ATS,No,0.00,153,ORCHARD ST,,NEW YORK,NY,10002,11103
